Title,Company,Location,Skills,Cluster
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India","Aartificial intelligence,AWS,Azure,Google Cloud Platform (GCP),Kubernetes-K8s,Large Language Models - LLMs,Machine learning techniques",3
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India","Design,Leadership Skill,Machine learning techniques",4
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India","Aartificial intelligence,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India","Amazon RedShift,Apache Hadoop,Data science techniques,Google BigQuery,Google Cloud Platform (GCP),Python Programming,R Programming,SQL",3
"Principal Product Manager - Growth, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Data Analytics,Data science techniques,Effective communication skills,Generative AI,GPT,NumPy,Pandas,Product Management,Python Programming,SQL",1
Machine Learning Physical Design Engineer,Google,"Bengaluru, Karnataka, India","Aartificial intelligence,Algorithms,Data structuring,Design,Machine learning techniques",4
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,Analytical and Problem solving,API,Data Analysis,Database,Design,Effective communication skills,GraphQL,Large Language Models - LLMs,Next.JS,Python Programming,React.js,Teamwork,TypeScript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,"Aartificial intelligence,API,Data science techniques,Design,Effective communication skills,Large Language Models - LLMs,Python Programming,Teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India","Aartificial intelligence,Data science techniques,Large Language Models - LLMs,Machine learning techniques,Natural Language Processing (NLP),Python Programming",2
